Question_id,Vector,Parameter,Par,Survey_Question,Question_type,Response_type,score_value,Survey Category
1,Pay Equity,Approach to Advance Pay Equity,Commitment,"Does the company have a formal commitment or policy statement that addresses equal pay for
work of equal value, aligned with the ILO Convention 100 on Equal Remuneration, and explicitly
support pay equity?",Dichotomous,Yes/No,,
2,Pay Equity,Approach to Advance Pay Equity,Communication,Does the company communicate its approach to pay equity to its employees annually?,Dichotomous,Yes/No,,
3,Pay Equity,Approach to Advance Pay Equity,Implementation,"Does the company assess other financial benefits including insurance benefits, bonuses, and
retirement contributions when reviewing compensation?",Dichotomous,Yes/No,,
4,Pay Equity,Approach to Advance Pay Equity,Implementation,"Does the company have a process to identify any gender pay inequalities (e.g. gender pay gap
audit)?",Dichotomous,Yes/No,,
5,Pay Equity,Approach to Advance Pay Equity,Implementation,"For a company that offers an employee stock option plan, does the company provide equal  benefits and communicate employee stock option benefits to all employees? ",Dichotomous,Yes/No,,
6,Pay Equity,Approach to Advance Pay Equity,Implementation,"Are jobs fully and fairly described, and work-value factors such as skill, level of responsibility and  working conditions consistently measured? ",Dichotomous,Yes/No,,
7,Pay Equity,Approach to Advance Pay Equity,Implementation,"Does the company conduct pay equity analysis upon commencement, yearly, and on promotion  to analyze where gaps exist and either seek justification for any imbalances or work to eliminate  them? ",Dichotomous,Yes/No,,
8,Pay Equity,Approach to Advance Pay Equity,Implementation,Does the company have clear criteria for rewards that link to the performance review process  and ask managers to justify their decisions on personal budget allocation?,Dichotomous,Yes/No,,
9,Pay Equity,Approach to Advance Pay Equity,Implementation,"For the company that offers employee stock option plan for its employees, does the company  provide equal benefits and communicate employee stock option benefits to all employees? 
",Filter,Yes/No/Not Applicable,,
10,Pay Equity,Approach to Advance Pay Equity,Implementation,Does the company have specific policies and practices that provide employees a smooth return  to work after maternity and/or paternity leave including the same or equivalent position and  pay?,Dichotomous,Yes/No,,
11,Pay Equity,Approach to Advance Pay Equity,Implementation,Does the company encourage collective bargaining? This could include peer networks among women employees and promoting peer-to-peer support helping women to build solidarity networks and collectively articulate their compensation priorities and needs.,Dichotomous,Yes/No,,
12,Pay Equity,Approach to Advance Pay Equity,Implementation,Do employees have access to collective bargaining or unionization to address compensation-re lated inquiries or other practices?,Dichotomous,Yes/No,,
13,Pay Equity,Approach to Advance Pay Equity,Measurement,"Does the company undertake an objective gender pay gap audit or evaluation by internal or
external parties at least every five years to ensure jobs of equal value are remunerated equally?",Dichotomous,Yes/No,,
14,Pay Equity,Approach to Advance Pay Equity,Accountability and Transparency,"Does the company have procedures in place to remediate
pay inequalities identified?",Dichotomous,Yes/No,,
15,Pay Equity,Approach to Advance Pay Equity,Accountability and Transparency,"Does the company report its progress and target
improvement (if any) to the Board of Directors?",Dichotomous,Yes/No,,
16,Pay Equity,Approach to Advance Pay Equity,Accountability and Transparency,Does the company publicly report its gender wage gap?,Dichotomous,Yes/No,,
17,Pay Equity,Approach to Advance Pay Equity,Accountability and Transparency,"Is there a Compensation Committee and is it
gender-balanced?",Dichotomous,Yes/No,,
18,Pay Equity,Women/Men Compensation (Hourly),% calculation,Last Twelve Months Average Compensation for Hourly Workers (Women),User_Input,Integer,"[1,2,3,4,5]",
19,Pay Equity,Women/Men Compensation (Hourly),% calculation,Last Twelve Months Average Compensation for Hourly Workers (Men),User_Input,Integer,,
20,Pay Equity,Women/Men Compensation (Salaried),% calculation,Last Twelve Months Average Salary for Salaried Employees (Women),User_Input,Integer,,
21,Pay Equity,Women/Men Compensation (Salaried),% calculation,Last Twelve Months Average Salary for Salaried Employees (Men),User_Input,Integer,"[1,2,3,4,5]",
22,Pay Equity,Top 10% Compensated,% calculation,Number of women Top 10% Compensated Employees (Last Twelve Months Total Compensation),User_Input,Integer,"[1,2,3,4,5]",
23,Pay Equity,Top 10% Compensated,% calculation,Number of men Top 10% Compensated Employees (Last Twelve Months Total Compensation),User_Input,Integer,"[1,2,3,4,5]",
24,Women's Workforce Participation,Approach to Gender Diversity in Recruitment,Commitment,"Does the company prohibit inquiring about the candidate status (e.g., marital status, pregnancy or care responsibilities) in job applications or during the interview processes?",Dichotomous,Yes/No,,
25,Women's Workforce Participation,Approach to Gender Diversity in Recruitment,Commitment,"Does the company offer a flexible work arrangement (e.g., remote work, a shift in working hours, an ability to leave early for occasional situations, and/or use of teleconference for meetings)?",Dichotomous,Yes/No,,
26,Women's Workforce Participation,Approach to Gender Diversity in Recruitment,Commitment,"Does the company provide support for working parents such as employees’ family network, advice and referrals, and/or childcare subsidies?",Dichotomous,Yes/No,,
27,Women's Workforce Participation,Approach to Gender Diversity in Recruitment,Commitment,"Does the company provide support to expecting, new and nursing parents, including retention policies after childbirth?",Dichotomous,Yes/No,,
28,Women's Workforce Participation,Approach to Gender Diversity in Recruitment,Commitment,Does the company provide written contracts for all workers (both salaried and hourly) that can be referenced in case of a disagreement?,Dichotomous,Yes/No,,
29,Women's Workforce Participation,Approach to Gender Diversity in Recruitment,Communication,Does the company communicate or train hiring managers on approaches to ensure non-dis- crimination in recruitment practices?,Dichotomous,Yes/No,,
30,Women's Workforce Participation,Approach to Gender Diversity in Recruitment,Communication,Does the company communicate non-discrimination and equal opportunity policy to potential employees in job applications and at the time of hiring?,Dichotomous,Yes/No,,
31,Women's Workforce Participation,Approach to Gender Diversity in Recruitment,Communication,Does the company set up mandatory training to train all the recruitment team to understand potential unconscious biases in recruitment and selection processes?,Dichotomous,Yes/No,,
32,Women's Workforce Participation,Approach to Gender Diversity in Recruitment,Communication,Does the company advertise job vacancies through multiple media channels to ensure the greatest reach?,Dichotomous,Yes/No,,
33,Women's Workforce Participation,Approach to Gender Diversity in Recruitment,Implementation,"Does the company forbid inquiring about the status or plans of the following in job applications or during interview processes: marriage, pregnancy or care responsibilities?",Dichotomous,Yes/No,,
34,Women's Workforce Participation,Approach to Gender Diversity in Recruitment,Implementation,Does the company have due diligence and remediation processes in place to identify and address violations of recruitment policies that are based on gender discrimination?,Dichotomous,Yes/No,,
35,Women's Workforce Participation,Approach to Gender Diversity in Recruitment,Implementation,Are there clear selection criteria that are free of gender bias?,Dichotomous,Yes/No,,
36,Women's Workforce Participation,Approach to Gender Diversity in Recruitment,Implementation,Does the company take proactive steps to recruit women at all levels?,Dichotomous,Yes/No,,
37,Women's Workforce Participation,Approach to Gender Diversity in Recruitment,Implementation,Does the company take proactive steps to recruit women in traditionally underrepresented roles?,Dichotomous,Yes/No,,
38,Women's Workforce Participation,Approach to Gender Diversity in Recruitment,Implementation,Does the company ensure gender-balanced interview panels during hiring processes?,Dichotomous,Yes/No,,
39,Women's Workforce Participation,Approach to Gender Diversity in Recruitment,Implementation,Does the company ensure that both women and men candidates are shortlisted for interviews?,Dichotomous,Yes/No,,
40,Women's Workforce Participation,Approach to Gender Diversity in Recruitment,Implementation,Does the company review job descriptions and recruitment advertisements to ensure gender-neutral language and images are used?,Dichotomous,Yes/No,,
41,Women's Workforce Participation,Approach to Gender Diversity in Recruitment,Implementation,Does the company track employee recruitment and reasons for turnover disaggregated by sex?,Dichotomous,Yes/No,,
42,Women's Workforce Participation,Approach to Gender Diversity in Recruitment,Implementation,"Does the company have an exit interview in its human resources process? If so, are gender-related questions, for example, gender discrimination, included in the inter- view?",Dichotomous,Yes/No,,
43,Women's Workforce Participation,Approach to Gender Diversity in Recruitment,Implementation,"Does the company employ tools or techniques to ensure fair hiring practices (e.g., blind evaluation, structured recruitment process,34 and/or diverse membership for selection committees?",Dichotomous,Yes/No,,
44,Women's Workforce Participation,Approach to Gender Diversity in Recruitment,Measurement,Does the company regularly collect data on women’s participation in different levels within the organization?,Dichotomous,Yes/No,,
45,Women's Workforce Participation,Approach to Gender Diversity in Recruitment,Measurement,Does the company track employee recruitment and reasons for turnover disaggregated by sex?,Dichotomous,Yes/No,,
