,company,company_rating,title,content,author,year
0,Kenway Consulting,3.5,diversity_review,"As someone who has visibility into the financials of the company, I can confidentially say that men and woman are treated equally with respect to pay and promotion activities.",Executive in Data & AnalyticsChicago,['2020']
1,Kenway Consulting,3.5,diversity_review,"We have a guiding principle to avoid collectivism at all costs, i.e. never treat anyone a certain way simply because of their skin color, gender, sexual preference, religion, etc. That said, we can do better at making sure we recruit from more diverse schools and diverse institutions.",Partner in Data & AnalyticsScottsdale,['2020']
2,Kenway Consulting,3.5,diversity_review,"We hire based on skill set, your potential to grow, cultural alignment. We do not take into account gender, demographics, sexual orientation, etc. We have recently done an internal study to make sure we are providing as wide a net as possible in our recruiting efforts to continue to make us more diverse. Tangential to this, as you grow within the firm, you are rewarded for your work / value which is objectively reviewed without any bias towards gender, demographics, sexual orientation, etc. As an individual who as insight into all our finances, I can say with 100% certainty that this is the case. Another example that can be viewed externally, is that our Leadership Team is made up of 4 male and 4 females.",Executive in Data & AnalyticsChicago,['2020']
3,Kenway Consulting,3.5,diversity_review,Our CEO has an equal representation of direct reports across women and men and I know that their value/compensation is equal as well.,Executive in Business OperationsChicago,['2020']
4,Kenway Consulting,3.5,diversity_review,Diversity for women is effective. Diversity for minorities is lacking but plans are in place to revamp recruiting efforts to include more minorities,Executive in CybersecurityChicago,['2020']
5,Kenway Consulting,3.5,diversity_review,"our firm does not discriminate based on gender, ethnicity, etc",Midlevel in Data & AnalyticsChicago,['2020']
6,Kenway Consulting,3.5,diversity_review,"I believe we do a good job with women, LGBTQ, disabilities, and veterans. We have or do employ members from all of those groups. From a diversity standpoint, we could improve in minorities. We currently employ American-Asians and at least one South African (sponsored visa) that I'm aware of, but I do not believe we currently employ any African-Americans. We have employed one black woman I'm aware of, but she left after less than 12 months. We've historically struggled to get blacks into our recruiting pipeline and retain them. This is a known weakness we are working to address.",Experienced in Data & AnalyticsChicago,['2020']
7,Kenway Consulting,3.5,diversity_review,"The firm itself is not very racially diverse; however, it is very small currently. There have been firm and conscious efforts; however, to focus more on diversity hiring.",Midlevel in IT Operations & ImplementationChicago,['2020']
8,Kenway Consulting,3.5,diversity_review,"Kenway is a small firm, only 50-ish employees. If you look at the numbers, you will notice the majority is white and male. Nonetheless, the discussed policies and intentions through recruiting, promoting, etc. have always been merit-based and non-discriminatory.",Midlevel in Data & AnalyticsChicago,['2020']
9,"RSM US LLP
",4,diversity_review,I think they are doing a great job.,Experienced in TaxStamford,['2021']
10,"RSM US LLP
",4,diversity_review,"The firm promotes diversity, green, and philanthropic practices. One way is through our culture, diversity, and inclusion program that offers all employees an opportunity to join an employee network group (ENG). Those ENGs offer a multitude of programming and opportunities to become leaders and develop within those groups.",Experienced in Audit & AssuranceOrlando,['2021']
11,"RSM US LLP
",4,diversity_review,Birdies fore Love is excellent.,Chicago,['2021']
12,"RSM US LLP
",4,diversity_review,Great in this area through many events and giving,Experienced in Audit & AssuranceDallas,['2021']
13,"RSM US LLP
",4,diversity_review,see above,Des Moines,['2021']
14,"RSM US LLP
",4,diversity_review,Sometimes feels like its something they are required to do instead of something they love to do.,Experienced in Audit & AssuranceSan Francisco,['2021']
15,"RSM US LLP
",4,diversity_review,RSM has lots of different CDI groups and they are all inclusive.,Experienced in TaxTampa,['2021']
16,"RSM US LLP
",4,diversity_review,"We have several groups that employees can join relating to cultural diversity, which meet on either a monthly or quarterly basis, and coordinate firm activities and webcasts relating to their group. The firm is also involved with charitable activities on a national basis, and specifically in our office we raise money throughout the year for the Phoenix Children's Hospital. The firm also has a volunteer day where each office chooses a local charity to participate with to help raise money or provide services needed by the charity.",Experienced in External AuditPhoenix,['2021']
17,"RSM US LLP
",4,diversity_review,Best: The firm really encourages those that don't share the lived experience of an employee network group to get involved. This helps foster courageous conversations and better understanding,Experienced in Audit & AssuranceOrlando,['2021']
18,"RSM US LLP
",4,diversity_review,Best - allows for volunteer hours,Experienced in TaxCedar Rapids,['2021']
19,"RSM US LLP
",4,diversity_review,['I think they are doing a great job.'],Experienced in TaxStamford,['2021']
20,"RSM US LLP
",4,diversity_review,"['The firm promotes diversity, green, and philanthropic practices. One way is through our culture, diversity, and inclusion program that offers all employees an opportunity to join an employee network group (ENG). Those ENGs offer a multitude of programming and opportunities to become leaders and develop within those groups.', ""The firm's Birdies Fore Love program encourages 100% involvement of all employees in planning fundraising events at the local office level and offers a matching contribution from the RSM US Foundation to support the charity that the local office chooses. These events promote inclusion and philanthropic practices.""]",Experienced in Audit & AssuranceOrlando,['2021']
21,"RSM US LLP
",4,diversity_review,['Birdies fore Love is excellent.'],Chicago,['2021']
22,"RSM US LLP
",4,diversity_review,['Great in this area through many events and giving'],Experienced in Audit & AssuranceDallas,['2021']
23,"RSM US LLP
",4,diversity_review,['see above'],Des Moines,['2021']
24,"RSM US LLP
",4,diversity_review,['Sometimes feels like its something they are required to do instead of something they love to do.'],Experienced in Audit & AssuranceSan Francisco,['2021']
25,"RSM US LLP
",4,diversity_review,['RSM has lots of different CDI groups and they are all inclusive.'],Experienced in TaxTampa,['2021']
26,"RSM US LLP
",4,diversity_review,"[""We have several groups that employees can join relating to cultural diversity, which meet on either a monthly or quarterly basis, and coordinate firm activities and webcasts relating to their group. The firm is also involved with charitable activities on a national basis, and specifically in our office we raise money throughout the year for the Phoenix Children's Hospital. The firm also has a volunteer day where each office chooses a local charity to participate with to help raise money or provide services needed by the charity.""]",Experienced in External AuditPhoenix,['2021']
27,"RSM US LLP
",4,diversity_review,"[""Best: The firm really encourages those that don't share the lived experience of an employee network group to get involved. This helps foster courageous conversations and better understanding"", ""Worst: Some partners still haven't bought in""]",Experienced in Audit & AssuranceOrlando,['2021']
28,"RSM US LLP
",4,diversity_review,"['Best - allows for volunteer hours', 'Worst - based on flexible work option, my choice to not use my time this way - on me']",Experienced in TaxCedar Rapids,['2021']
29,"Bank of America Corp.
",4,diversity_review,"['BofA takes a comprehensive approach, providing financial support, leading green financing initiatives, matching donations and grants to non-profits, supporting employee advocacy groups, etc.']",Executive in Real Estate FinanceCharlotte,['2020']
30,"Bank of America Corp.
",4,diversity_review,['Highly proactive and engaged across the firm with strong message from senior leadership on ESG'],Executive in Prime BrokerageNew York,['2020']
31,"Bank of America Corp.
",4,diversity_review,['A good amount of focus here on diversity'],Chicago,['2020']
32,"Bank of America Corp.
",4,diversity_review,['The worst thing for me was tracking my printing and putting it in a challenge. This helped me to understand the need and really think in advance of printing something. Today I can say I am paper free! Therefore have a much smaller working environment!'],ExecutiveAtlanta,['2020']
