company,company_rating,title,uppers,downers,advice,date,author
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Need to build a pro-active culture as per Global standards”,"Work life balance
Campus facilities
Work from home option
Medical reimbursement scheme
","
Culture
Pro-activeness
Onboarding experience
Organization Structure
Cross team relationships
","
The culture is very laid-back and employees are not responsive and proactive",March 2020,FORMER EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Great learning opportunity with challenges that you enjoy”,"Great work culture
","
None
","
Great work culture and have the passion to do something different and unique.","Experienced in Energy & UtilitiesLas Vegas, NV2019",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,"“Excellent work culture, great leadership”","Partner Ecosystem
","
No Comments
","
No Comments","Executive in Retail & Consumer GoodsNew York, NY2019",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Wipro has many good people with a strong innovative spirit - the culture is working to keep up”,"People, autonomy, entrepreneurial spirit
","
Back office processes, gender bias
","
No large technology services and consulting business is perfect. There are some benefits to working for a company not based in the US - it broadens ones' perspective to differences across the globe, in culture and in economic conditions.","Partner in Energy & UtilitiesHouston, TX2019",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Opportunities abound - take the bull by the horns and you can make your dream come true”,"Flexibility to be self driving. I can set my own destiny and make it happen
","
Indian National companies have signifcant back end processes that can be frustrating
","
If you are self driven and want a chance at making an impact, then this is a good place to start your career. If you want to be spoon fed and babysat don't come here. You will be given an opportunity to grow and will be given a support system but it will be up to you to be successful","Partner in StrategyCharlotte, NC2019",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Great exposure and learning opportunities. Your drive is your limit”,"Exposure to several technology themes
","
Evolving org culture
","
Great company for self motivated and hard working individuals. Lot's of resources and great exposure to move ahead in your career (provided that's what you seek)","Midlevel in IT StrategyNew York, NY2019",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,"“So much to learn and do, are you a go getter?”","Plenty of room to learn and grow
","
Going through a cultural evolution
","
Plenty of opportunities to shape your career (pick your own industry, practice, region or technology area of choice)","Midlevel in IT StrategyNew York, NY2019",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Mixed bag”,"Work at home and work life balance if you draw limits
","
Culture
","
Be prepared for a culture shock compared to working for a competitor. But better than working for a TCS or HCL or even an Infosys. I would say better firm among the indian consulting firms","Partner in IT StrategyDallas, TX2019",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“It's all about digital technologies aligned to industry verticals and customer satisfaction”,"Optimal balance between challenge work and overall work / life balance
","
Brand recognition, though the brand is evolving to more digital and modern.
","
It's a good place to do interesting consulting work with lots of autonomy and flexibility in career progression","Partner in Energy & UtilitiesHouston, TX2019",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,"“Low pay and benefits, good supervisors, good opportunities to work in diverse areas and locations.”","Diverse work opportunities.
","
Pay and benefits, salary progression, flexibility with regard to travel.",,"Midlevel in IT Operations & ImplementationBoston, MA2019",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Challenging and exciting”,"Pride of working with best brains of industry
","
Culture, decision making, compensation
","
None","Partner in IT Operations & ImplementationSan Francisco, CA2019",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“offers opportunities”,"opportunity to be at forefront of technology solutions
","
large, sometimes unclear on who does what
","
large organization with opportunities to take on complex engagements and apply thought leadership","PartnerMountain View, CA2019",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Worst thing during my entire career.”,"You are on your own.
","
A big set back on my career development.
","
If you are from India, then this is your potential employer.","Experienced in IT Operations & ImplementationTampa, FL2019",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Fair place”,"Pay checks
","
Travel policy",,Midlevel in Financial ServicesOther2019,VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,"“Midlevel in Technology, Media & Communications”","Good friendly environment
","
Not responding to associate",,"Seattle, WA2019",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Great work; need to understand Indian collaborative culture.”,"Flexible hours / home location.
","
Servant of many masters.",,"Experienced in Health Care and/or PharmaceuticalsBoston, MA2019",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,"“Think, Design, Deliver, Innovate, Learn and You will Excel”","Good people
","
Travel
","
Consulting can be rewarding, if you are willing to work hard for the client and network with your peers.",Other in IT Strategy2018,VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Experienced in IT Operations & Implementation”,"Learning with Udemy
","
instability with the next project and travelling
","
If you like to travel, this is a good place.","Houston, TX2018",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Journey full of exciting challenges and learning to grow personally and professionally”,"Strong Ethics, work culture, Flexibility
","
Compensation",,"Partner in StrategyWashington, DC2018",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Experienced in Financial Services”,People,,,"Wilmington, DE2018",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Great”,"Culture and Business Outlook
","
None",,"Experienced in StrategyChicago, IL2018",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Excited to part of the North American team as we grown the Consulting practice.”,"Flexibility
","
Ongoing work / Bench Time",,"Other in Energy & UtilitiesBoston, MA2018",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Change is the mantra and work is challenging”,"Flexibility , New Challenges , Innovative Engagements
","
Too much travel at times
","
1. Flexible in picking up engagements
2. Positive attitude
3. Ready to travel globally","Partner in StrategyBoston, MA2018",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Executive in Energy & Utilities”,"Global and innovative
","
Siloed; lack of cross-business collaboration",,"Atlanta, GA2018",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Dedicated consulting leadership”,"deciated people
","
promotion opportinities
","
N/A",Executive in IT StrategyOther2018,VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Experienced in IT Operations & Implementation”,"colleagues
","
lack of promotional opportunities",,2018,VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Partner in IT Strategy”,"Oppurtunity to move between functions
","
Multiple teams within Wipro overlapping in terms of services",,2018,VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Freedom to innovate”,"The commitment to Data, Analytics and AI as growth engines
","
The administrative systems are outdated
","
Great place to work if you are self-motivated and can chalk your own path. People are accessible to you if you have good ideas that would interest them.","Partner in Energy & UtilitiesSan Diego, CA2018",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Experienced in IT Operations & Implementation”,"International opportunity, Exposure to wide industry",,,"Los Angeles, CA2018",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Great company to work”,"Great leadership in consulting, and lots of new projects to work on and diversified and keeps you challenged and occupied
","
Processes can sometimes get in way of getting work done but once you learn the landscape becomes easier",,Experienced in IT Strategy2018,VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Interesting but not challenging”,"The exposition to new technologies
","
The transition managment is not very well transfer down in the organization
","
Digital Strategy
Global presence
different cultures","Executive in Business OperationsHouston, TX2018",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“good company to work”,"good oppotunity
","
n/a
","
n/a","Experienced in Energy & UtilitiesHouston, TX2018",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Partner”,"Flexable Hours
","
Too much work and not enough time
","
Very Open Hiring Practices","Mountain View, CA2018",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Partner in Financial Services”,"Flexibility
","
In the current IT Transformation space the HR policies are archaic and dysfunctional.",,"Charlotte, NC2018",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Make the change happen”,"entrepreneurial spirit
","
Conservative
","
Culture to collaborate, innovate and Win in an entrepreneurial way","Partner in Financial ServicesNew York, NY2018",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Experienced in IT Operations & Implementation”,"Flexibility
","
Internal Business Operations and lack of Internal Customer Service",,"New York, NY2018",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Good but need to be competitive”,"diverse and international
","
Compensation",,"Executive in Energy & UtilitiesLas Vegas, NV2018",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,"“Hard Economic Times in our sector, A new client economy has been forced by new compitition, Adaptation required”","Compensation, flex hours, telecommuting, access to technical training
","
Doing what we have done, the way we have always done it, expecting different results
","
Be prepared for more work and experience than most companies will give you. One year in our firm is equal to 2 elsewhere.","PartnerHouston, TX2018",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Great place to learn the ropes”,"Freedom to innovate
","
Culture
","
It is a good environment to learn and grow especially if you are a minority as we are focused on helping you grow inside the company","Partner in StrategyCharlotte, NC2018",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Committed to play different hats and do whatever is needed to get things done. Lots of time spent on travel arrangements and claims”,"The range of opportunities and clients in different industries
","
Life/Work balance, lack of cultural benefits
","
Besides the expected travel commitments and long consulting hours, one has to be comfortable working for an international employer and mixing consulting roles with Time and Material culture","ExperiencedNew York, NY2018",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,"“People can be great to work with, but the system will not be.”","The people are great to work with
","
There is no opportunity for growth
","
You have to be proactive.","Entry-level in IT Operations & ImplementationHouston, TX2018",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,"“Great start with a tempting Offer, however didn't live up to the expectations of the employee both in terms of work/life balance as well as benefits”","Salary being offered as a single compensation
","
No preference for processing Permanent Residency or Green Card which denies long term working at USA
","
401K Plan - 100% match for an amount contributed as 3% of base salary.
Health Insurance - Option:1: HSA Plan - $4000 Deductible - Plan costs approx $135 per paycheck for a family of 4
Option:2:Co-Pay Plan - $4500 Deductible - Plan costs approx $235 per paycheck for a family of 4","ExperiencedSan Francisco, CA2018",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Short Visits Make Long Friendships”,"variety of clients and project work
","
company on-boarding",,ExperiencedOther2018,VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Partner in Retail & Consumer Goods”,"Prestigious
","
Mid Management Politics",,"Chicago, IL2018",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Wonderful experience with the diverse & international opportunities”,"Opportunities and diversity
","
nothing worse but salary increaments
","
If you are looking for diverse, new technology and international opportunity this is the place.","Experienced in IT Operations & ImplementationNewark, NJ2018",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Good and lot of oppurtunity”,"flexibility
","
Work timings
","
Lot of new oppurtunities","Experienced in IT StrategySan Francisco, CA2018",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Great Customer Approach and Digital Innovation”,"Great colleagues and challenging customers.
","
Long hours without much administrative support.
","
Ensure that you have good line of sight on your priorities for the first 12 months.","Partner in Retail & Consumer GoodsBentonville, AR2018",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Experienced in Energy & Utilities”,"Good clients
","
Low pay
","
Pay is low but good colleagues and clients","Houston, TX2018",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Midlevel in Health Care and/or Pharmaceuticals”,"Work Life Balance and Flexible Hours
","
Compensation, training, and opportunities",,"Chicago, IL2018",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“quality of experienced people that i have worked with is truly good”,"Iam able to bring the leader out of the hiding in me more strongly to pursue challenges
","
career development",,"Experienced in Retail & Consumer GoodsDetroit, MI2018",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Good allround experience”,"Flexible, good value system, opportunities to learn
","
Adhoc at times, unplanned travel",,"Executive in IT StrategyNewark, NJ2018",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Depth of technical prowess across emergent technologies and industries”,"level of collaboration opportunities
","
not as well organized as it could be",,Executive in IT Strategy2018,VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“An opportunity to work with great clients and colleagues but the internal processes and back-office will frustrate you.”,"The members of my team and my customers.
","
The back office and our antiquated processes and procedure. The bias against white males.
","
A good place to start and gain experience.","Partner in Energy & UtilitiesHouston, TX2018",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Experienced in Media & Telecommunications”,"Very versatile portfolio of industries, innovation technologies and models
","
Execution",,"Plano, TX2018",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,"“Flexible and Challenging Work Environment, with Multiple Opportunities to Learn”","Flexibility and coworkers
","
Salary and it's unclear how to progress career-wise",,"Entry-level in IT StrategyDenver, CO2018",VERIFIED EMPLOYEE
