,index,Survey_Question,SEAF_Vectors,Unnamed_2,Master_Framework,"('indicator_from_Master_Framework_',)","('What_Works',)","('Trigger_for_Recommending_What_Works',)","('SEAF_Themes',)","('Type',)","('SEAF_Scoring_parameter',)",vector,parameter,par
0,0,"Does the company have a formal commitment or policy statement that addresses equal pay for work of equal value, aligned with the ILO Convention 100 on Equal Remuneration, and explicitly support pay equity? ",Pay equity ,,"WRK_WAGEGP_T_1039,WRK_WAGEGP_F_159,WRK_EQREMU_F_93","% gender wage gap, Female portion of gender wage gap ratio, Does the law mandate equal remuneration for work of equal value?",Conduct salary gap analysis to determine if there are gender differences and adjust salaries to close identified gaps (Compensation) *Ensure salary equity for all employees *Adopt a salary equity policy with mechanisms for analysis and redress (Policies)*Adopt international standards and endorse international commitments for gender equality (Company Performance & Reporting)*Adopt and implement a gender equality and social inclusion policy (Policies)*Establish a corporate-level equal employment opportunity (EEO) policy (Policy),No,Pay,Policy,"Yes/no response contributing to sub-parameter score
",,,
1,1,"Does the company assess other financial benefits including insurance benefits, bonuses, and
retirement contributions when reviewing compensation?",Pay equity ,,,,"Conduct equity and impact analysis of benefits, including usage/uptake of benefits (Benefits)*Ensure that benefits  such as medical coverage, tuition reimbursement and retirement savings  are equally accessible to male and female employees, including those working part-time (Benefits)*Create working conditions that support improved reconciliation of work and family life for women and men with care duties (Benefits)*Ensure both men and women participate in retirement plan and/or financial education program (Retirement)*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties",No,"Benefits,Retirement",Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",,,
2,2,Does the company communicate its approach to pay equity to its employees annually?,Pay equity ,,"WRK_WAGEGP_T_1039,WRK_WAGEGP_F_159,WRK_EQREMU_F_93","% gender wage gap, Female portion of gender wage gap ratio, Does the law mandate equal remuneration for work of equal value?","Adopt a salary equity policy with mechanisms for analysis and redress (Policies)*Communicate company commitment to gender equality, diversity, and inclusion during onboarding (Onboarding)*Provide company-wide employee and specialized management training on gender equality and diversity strategies, policies and codes of conduct (Training)",No,Pay,Communication/ Reporting,"Yes/no response contributing to sub-parameter score
",Pay Equity,Approach to Advance Pay Equity,Communication
3,3,Does the company have a process to identify any gender pay inequalities (e.g. gender pay gap audit)?,Pay equity ,,"WRK_WAGEGP_T_1039,WRK_WAGEGP_F_159,WRK_EQREMU_F_93","% gender wage gap, Female portion of gender wage gap ratio, Does the law mandate equal remuneration for work of equal value?","Conduct salary gap analysis to determine if there are gender differences and adjust salaries to close identified gaps (Compensation) *Ensure that benefits  such as medical coverage, tuition reimbursement and retirement savings  are equally accessible to male and female employees, including those working part-time (Benefits)*Adopt a salary equity policy with mechanisms for analysis and redress (Policies)*Review and revise all company policies to support gender equality, diversity, and inclusion goals (Policies)",No,Pay,Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",,,
4,4,"For a company that offers an employee stock option plan, does the company provide equal benefits and communicate employee stock option benefits to all employees?",Pay equity ,,,,"Conduct equity and impact analysis of benefits, including usage/uptake of benefits (Benefits)*Collect and analyze sex-disaggregated data at the company level and use the data to regularly monitor progress of gender equity interventions (Company Performance)",No,"Benefits,Employee Stock Options",Practice,"Yes/no response contributing to sub-parameter score
",,,
5,5,Is there a Compensation Committee and is it gender-balanced?,Pay equity ,,,,Design and implement a fair and unbiased employee performance management and appraisal system and process (Performance Management),No,"Pay,Benefits",Practice,"Yes/no response contributing to sub-parameter score
",,,
6,6,"Are jobs fully and fairly described, and work-value factors such as skill, level of responsibility and working conditions consistently measured?",Pay equity ,,,,Build a successful employer brand that is attractive to female candidates and individuals with diverse social identities (Corporate Branding),No,"Job Descriptions,Working Conditions",Practice,"Yes/no response contributing to sub-parameter score
",,,
7,7,Does the company report its progress and target improvement on pay equity (if any) to the Board of Directors?,Pay equity ,,,,Collect and analyze sex-disaggregated data at the company level and use the data to regularly monitor progress of gender equity interventions (Company Performance),No,Pay,Communication/ Reporting,"Yes/no response contributing to sub-parameter score
",,,
8,8,Do employees have access to collective bargaining or unionization to address compensation-related inquiries or other practices?,Pay equity ,,"WRK_UNVIOL_T_5025,WRK_COLBRG_T_5030,WRK_UNIONM_T_5031","Violation of trade union rights on a scale of 1 (generally guaranteed collective rights) to 5 (no guarantee of rights), % of total employees whose pay and/or conditions of employment are determined by one or more collective bargaining agreement(s), % of employees who are union members","Support, encourage, and ensure workers have access to collective bargaining",No,Unionization & Collective Bargaining,Practice,"Yes/no response contributing to sub-parameter score
",,,
9,9,Does the company have procedures in place to remediate pay inequalities identiï¬ed?,Pay equity ,,WRK_EQREMU_F_93,Does the law mandate equal remuneration for work of equal value?,"Conduct salary gap analysis to determine if there are gender differences and adjust salaries to close identified gaps (Compensation) *Adopt a salary equity policy with mechanisms for analysis and redress (Policies)*Review and revise all company policies to support gender equality, diversity, and inclusion goals (Policies)",No,Pay,Practice,"Yes/no response contributing to sub-parameter score
",,,
